run_idx,ts,scenario,status,min_ttc,max_jerk,max_yaw,max_lat_accel,brake_delay,recovery,lane_dev,overshoot,rtf,slowmo,latency_med,latency_p95,collisions,completed,n_metric_frames,n_events,duration_s,jsonl
138,2026-06-30T01:51:45,C2,exit_1,,,,,,,,,,,,,,0,,,122.0,run0138_C2_20260630_014940.jsonl
139,2026-06-30T01:52:54,C1,exit_1,,,,,,,,,,,,,,0,,,62.0,run0139_C1_20260630_015150.jsonl
140,2026-06-30T01:55:04,C2,exit_1,,,,,,,,,,,,,,0,,,122.0,run0140_C2_20260630_015259.jsonl
141,2026-06-30T01:56:13,C1,exit_1,,,,,,,,,,,,,,0,,,62.0,run0141_C1_20260630_015509.jsonl
142,2026-06-30T01:57:23,C2,exit_1,,,,,,,,,,,,,,0,,,62.0,run0142_C2_20260630_015618.jsonl
143,2026-06-30T01:59:33,C1,exit_1,,,,,,,,,,,,,,0,,,122.0,run0143_C1_20260630_015728.jsonl
144,2026-06-30T02:00:42,C2,exit_1,,,,,,,,,,,,,,0,,,62.0,run0144_C2_20260630_015938.jsonl
145,2026-06-30T02:01:52,C1,exit_1,,,,,,,,,,,,,,0,,,62.0,run0145_C1_20260630_020047.jsonl
146,2026-06-30T02:03:01,C2,exit_1,,,,,,,,,,,,,,0,,,62.0,run0146_C2_20260630_020157.jsonl
147,2026-06-30T02:05:11,C1,exit_1,,,,,,,,,,,,,,0,,,122.0,run0147_C1_20260630_020306.jsonl
148,2026-06-30T02:07:20,C2,exit_1,,,,,,,,,,,,,,0,,,122.0,run0148_C2_20260630_020516.jsonl
149,2026-06-30T02:09:30,C1,exit_1,,,,,,,,,,,,,,0,,,122.0,run0149_C1_20260630_020725.jsonl
150,2026-06-30T02:11:40,C2,exit_1,,,,,,,,,,,,,,0,,,122.0,run0150_C2_20260630_020935.jsonl
151,2026-06-30T02:12:49,C1,exit_1,,,,,,,,,,,,,,0,,,62.0,run0151_C1_20260630_021145.jsonl
152,2026-06-30T02:14:59,C2,exit_1,,,,,,,,,,,,,,0,,,122.0,run0152_C2_20260630_021254.jsonl
153,2026-06-30T02:17:08,C1,exit_1,,,,,,,,,,,,,,0,,,122.0,run0153_C1_20260630_021504.jsonl
154,2026-06-30T02:19:18,C2,exit_1,,,,,,,,,,,,,,0,,,122.0,run0154_C2_20260630_021713.jsonl
155,2026-06-30T02:21:28,C1,exit_1,,,,,,,,,,,,,,0,,,122.0,run0155_C1_20260630_021923.jsonl
156,2026-06-30T02:23:37,C2,exit_1,,,,,,,,,,,,,,0,,,122.0,run0156_C2_20260630_022133.jsonl
157,2026-06-30T02:25:47,C1,exit_1,,,,,,,,,,,,,,0,,,122.0,run0157_C1_20260630_022342.jsonl
158,2026-06-30T02:26:57,C2,exit_1,,,,,,,,,,,,,,0,,,62.0,run0158_C2_20260630_022552.jsonl
159,2026-06-30T02:28:06,C1,exit_1,,,,,,,,,,,,,,0,,,62.0,run0159_C1_20260630_022702.jsonl
160,2026-06-30T02:30:16,C2,exit_1,,,,,,,,,,,,,,0,,,122.0,run0160_C2_20260630_022811.jsonl
161,2026-06-30T02:31:25,C1,exit_1,,,,,,,,,,,,,,0,,,62.0,run0161_C1_20260630_023021.jsonl
162,2026-06-30T02:33:35,C2,exit_1,,,,,,,,,,,,,,0,,,122.0,run0162_C2_20260630_023130.jsonl
163,2026-06-30T02:34:44,C1,exit_1,,,,,,,,,,,,,,0,,,62.0,run0163_C1_20260630_023340.jsonl
164,2026-06-30T02:36:54,C2,exit_1,,,,,,,,,,,,,,0,,,122.0,run0164_C2_20260630_023449.jsonl
165,2026-06-30T02:38:03,C1,exit_1,,,,,,,,,,,,,,0,,,62.0,run0165_C1_20260630_023659.jsonl
166,2026-06-30T02:40:13,C2,exit_1,,,,,,,,,,,,,,0,,,122.0,run0166_C2_20260630_023808.jsonl
167,2026-06-30T02:41:23,C1,exit_1,,,,,,,,,,,,,,0,,,62.0,run0167_C1_20260630_024018.jsonl
168,2026-06-30T02:43:32,C2,exit_1,,,,,,,,,,,,,,0,,,122.0,run0168_C2_20260630_024128.jsonl
169,2026-06-30T02:44:42,C1,exit_1,,,,,,,,,,,,,,0,,,62.0,run0169_C1_20260630_024337.jsonl
170,2026-06-30T02:46:51,C2,exit_1,,,,,,,,,,,,,,0,,,122.0,run0170_C2_20260630_024447.jsonl
171,2026-06-30T02:48:01,C1,exit_1,,,,,,,,,,,,,,0,,,62.0,run0171_C1_20260630_024656.jsonl
172,2026-06-30T02:50:11,C2,exit_1,,,,,,,,,,,,,,0,,,122.0,run0172_C2_20260630_024806.jsonl
173,2026-06-30T02:52:20,C1,exit_1,,,,,,,,,,,,,,0,,,122.0,run0173_C1_20260630_025016.jsonl
174,2026-06-30T02:54:30,C2,exit_1,,,,,,,,,,,,,,0,,,122.0,run0174_C2_20260630_025225.jsonl
175,2026-06-30T02:55:39,C1,exit_1,,,,,,,,,,,,,,0,,,62.0,run0175_C1_20260630_025435.jsonl
176,2026-06-30T02:56:49,C2,exit_1,,,,,,,,,,,,,,0,,,62.0,run0176_C2_20260630_025544.jsonl
177,2026-06-30T02:58:58,C1,exit_1,,,,,,,,,,,,,,0,,,122.0,run0177_C1_20260630_025654.jsonl
178,2026-06-30T03:01:08,C2,exit_1,,,,,,,,,,,,,,0,,,122.0,run0178_C2_20260630_025903.jsonl
179,2026-06-30T03:03:18,C1,exit_1,,,,,,,,,,,,,,0,,,122.0,run0179_C1_20260630_030113.jsonl
180,2026-06-30T03:05:28,C2,exit_1,,,,,,,,,,,,,,0,,,122.0,run0180_C2_20260630_030323.jsonl
